Website,Agency,Bureau,Office,Description
ndbc.noaa.gov,Department of Commerce,NOAA,,"Official site of the National Data Buoy Center (NDBC). Provides real-time and historical weather and ocean data from a global network of buoys, coastal stations, and other marine platforms."
ndl.noaa.gov,Department of Commerce,NOAA,,Any certified NOAA Diver is required to regularly provide information on their diving activities. This is the site that collects that information and tracks required certifications. 
nesdis.noaa.gov,Department of Commerce,NOAA,,"Provides the public with information on NOAA satellites, weather and environmental data for emergency response, readiness, and education."
ngs.noaa.gov,Department of Commerce,NOAA,,"Website is vital for spatial reference data, infrastructure, and disaster response. Access ensures precise positioning, economic growth, and scientific innovation and minimizes barriers or delays."
nhc.noaa.gov,Department of Commerce,NOAA,,National Hurricane Center's home page used primarily for the provision of forecasts and outlooks for tropical weather (e.g. hurricanes)
niwc.noaa.inl.gov,Department of Commerce,NOAA,,"The NOAA/INL Weather Center provides real-time weather data, forecasts, and safety alerts for the Idaho National Laboratory area, supporting operations and emergency preparedness.​"
noaa.gov,Department of Commerce,NOAA,,Flagship NOAA website: portal and content consolidation point for all NOAA activities and projects. 
noaa.inl.gov,Department of Commerce,NOAA,,"The NOAA INL website provides meteorological data, forecasts, and modeling tools to support safety, emergency response, and environmental research at the Idaho National Laboratory site."
noaasis.noaa.gov,Department of Commerce,NOAA,,Platform to show the workflow of understanding and using satellite data. 
nohrsc.noaa.gov,Department of Commerce,NOAA,,"Home page for the National Operational Hydrologic Remote Sensing Center that provides comprehensive snow observations, analyses, data sets and map products for the Nation."
nomads.gfdl.noaa.gov,Department of Commerce,NOAA,,"Provides Earth system model data and documentation to support stakeholders in decision-making and solutions for a safer, more prosperous America."
nomads.ncep.noaa.gov,Department of Commerce,NOAA,,Provides remote access to high volume numerical weather prediction and global climate models and data and addresses  model data access needs.
nominate.noaa.gov,Department of Commerce,NOAA,,This website provides guidance and other information for communities to nominate their most treasured places in the ocean and Great Lakes waters for consideration as national marine sanctuaries.
nowcoast.noaa.gov,Department of Commerce,NOAA,,"Aggregates and provides real-time data (alerts, weather, bathymetry) for the maritime community (commercial mariners, USCG/Navy/USACE, rec boaters)"
npad.noaa.gov,Department of Commerce,NOAA,,"Location tracker for NOAA ships, aircraft and uncrewed systems. Not a public site, NOAA staff must log in"
nsd.rdc.noaa.gov,Department of Commerce,NOAA,,Public search capability for NOAA staff with login capabilities for expanded internal staff searching.
nsde.ngs.noaa.gov,Department of Commerce,NOAA,,"Provides critical shoreline data for navigation, coastal management, and hazard response.  Public access ensures accuracy, resilience, and sustainable planning for communities and coastal systems."
nssl.noaa.gov,Department of Commerce,NOAA,,"Main NSSL public-facing site. Information on NSSL history, purpose, organization, research, projects, publications, and personnel, as well as media and educational resources."
ntwc.arh.noaa.gov,Department of Commerce,NOAA,,
ntwc.ncep.noaa.gov,Department of Commerce,NOAA,,
nweb.ngs.noaa.gov,Department of Commerce,NOAA,,"Website is vital for spatial reference data, infrastructure, and disaster response. Access ensures precise positioning, economic growth, and scientific innovation and minimizes barriers or delays."
nwrfc.noaa.gov/rfc,Department of Commerce,NOAA,,"Home page for the Colorado Basin River Forecast Center, serving river forecast information. "
nws.weather.gov,Department of Commerce,NOAA,,
ocean.weather.gov,Department of Commerce,NOAA,,"Ocean Prediction Center's home page, supplying analyis and forecast data for a variety of open water and artic weather."
oceanacidification.noaa.gov,Department of Commerce,NOAA,,"Provide information, tools, services as part of national outreach for anyone to use (public, private, Tribes, government) to meet FOARAM Act (50 USC 3705) and America Competes Act (42 USC 6681)"
oceanexplorer.noaa.gov,Department of Commerce,NOAA,,"Provide expedition & opportunity info, live video, images/videos, web stories, lesson plans, data access for NOAA Ocean Exploration activities & discoveries for public, science community, & educators"
oceannoise.noaa.gov,Department of Commerce,NOAA,,"Provides ocean noise data and tools to aid decisions on marine life, habitat, and industry planning in U.S. waters."
oceanservice.noaa.gov,Department of Commerce,NOAA,,"The flagship website of the National Ocean Service. The agency-wide official source for all operational services, data, and information for the public, government partners, and stakeholders. "
oceantoday.noaa.gov,Department of Commerce,NOAA,,"Foundational website for a joint effort with the Smithsonian that hosts web content & in-person kiosks that feature videos about ocean exploration, marine life, and science for the public."
oceanview.pfeg.noaa.gov,Department of Commerce,NOAA,,"Serves ecosystem indicators for the California Current Integrated Ecosystem Assessment, implementing mandated ecosystem-based management. "
oceanwatch.pifsc.noaa.gov,Department of Commerce,NOAA,,"Provides satellite oceanography data for Pacific Islands, environmental indicators for west Hawai‘i & longline grounds, dynamic manegement tools, and tutorials/training on satellite data."
oculus.atdd.noaa.gov,Department of Commerce,NOAA,,"Provides a directory for several research sites on hyperlocal met data for the public, researchers, and forecasters"
oeab.noaa.gov,Department of Commerce,NOAA,,"NOAA Ocean Exploration Advisory Board website; provides info about meetings, public access to documents, and chartering of groups, per Federal Advisory Committee Act website requirements"
oedwebdbapps.iso.noaa.gov,Department of Commerce,NOAA,,"Office of Education Web Database Apps provide a platform for students to apply for scholarships, match with internship projects, track summer internship progress, and track supported programs’ data. "
olympiccoast.noaa.gov,Department of Commerce,NOAA,,"Mandated by the National Marine Sanctuaries Act to enhance public awareness, understanding and appreciation of the marine environment, this site provides vital information for the tax paying public."
om.cmdl.noaa.gov,Department of Commerce,NOAA,,"In support of U.S. statutory requirements, GML's om server provides a login-restricted interface for external collaborators to share flask data in support of GML's required mission."
omao.noaa.gov,Department of Commerce,NOAA,,Homepage for NOAA Marine & Aviation Operations. Landing page for all public interest and operations information. 
opendap.co-ops.nos.noaa.gov,Department of Commerce,NOAA,,"Primary pathway for ocean forecast model data. Alternate method for water level, currents, meteorological data. For some, this is the primary pathway for water level, currents and meteorological data."
orta.research.noaa.gov,Department of Commerce,NOAA,,"Resource gateway for transition plans, readiness levels, TPO, & QOSAP to NOAA line offices, labs & programs, partners & general public. 15 USC §3710; Public Law 96-480: Section 11c2; Public Law 115-25"
osm.woc.noaa.gov,Department of Commerce,NOAA,,"single, blank landing page other than the word 'healthy' in the upper left hand corner, (not clickable)"
osmc.noaa.gov,Department of Commerce,NOAA,,"Resolves to page with header ""Red Hat Enterprise Linux TEST PAGE"" Added www. prefix to resolve to intended content"
ospo.noaa.gov,Department of Commerce,NOAA,,"Provides data from NOAA satellites to users such as forecasters, aviation and agriculture communities, supporting U.S. and global forecasting and monitoring."
oss.research.noaa.gov,Department of Commerce,NOAA,,America COMPETES Act SEC 4002(a) and other mandates specify that NOAA “shall enhance public awareness and understanding of ocean and atmospheric science.” OAR websites are the primary tool for this.
papahanaumokuakea.gov,Department of Commerce,NOAA,,"Mandated by the National Marine Sanctuaries Act to enhance public awareness, understanding and appreciation of the marine environment, this site provides vital information for the tax paying public."
passiveacoustics.fisheries.noaa.gov,Department of Commerce,NOAA,,"Passive Acoustics is a portal for NOAA and external users, decision makers, and the public to upload or view marine mammal detection data. It is a widely used decision support tool under the MMPA/ESA."
phi.nssl.noaa.gov,Department of Commerce,NOAA,,PHI is an online data viewer used by NWS forecasters and core partners for real-time severe weather warning decision making. 
pidvms.irc.noaa.gov,Department of Commerce,NOAA,,Allows vessel owners to access their vessel monitoring system postition. 
pier.seagrant.noaa.gov,Department of Commerce,NOAA,,"Platform for national collection of grant-related measures to meet OMB Circular A-11 reporting requirements in support of 33 USC §§ 1121(a)(1)(A).
NOAA National Sea Grant Advisory Board website provides info about meetings, public access to documents, and chartering documents per Federal Advisory Committee Act (FACA) (P.L. 92-463) and the Government in the Sunshine Act (5 U.S.C. § 552b) website requirements"
pmel.noaa.gov,Department of Commerce,NOAA,,"PMEL’s home page is a resource gateway to enhance public awareness and understanding of ocean, coastal, and atmospheric science and stewardship by the public and other stakeholders (33 USC Ch 17 §893)"
polar.ncep.noaa.gov,Department of Commerce,NOAA,,Homepage for the Marine Modeling and Analysis Branch of the Environmental Modeling Center at the National Centers for Environmental Prediction
polarwatch.noaa.gov,Department of Commerce,NOAA,,"PolarWatch provides access to oceanographic geospatial satellite data for polar regions, with tools, governed by a complex web of laws, policies, and regulations."
portal.diver.orr.noaa.gov,Department of Commerce,NOAA,,"A web-based data tool supporting NOAA’s disaster and pollution preparedness and response efforts. Provides privileged access to data and analysis for public, Federal, State and Local agencies."
products.coastalscience.noaa.gov,Department of Commerce,NOAA,,Enables access to operational harmful algal and pathogen forecasts and data that help communicate human health risks & provides access to critical data that resource managers need for decision-making
psl.noaa.gov,Department of Commerce,NOAA,,Non-duplicative water availability/extremes info; gridded datasets & experimental data models w/ on-demand plot generation for science/industry; per Wx Research/Forecast Innov. Act; Secure Water Act
pss.swpc.noaa.gov,Department of Commerce,NOAA,,Product subscription service - space weather prediction center
publications.gsl.noaa.gov,Department of Commerce,NOAA,,"To share vital weather research, tools, and forecasts that support public safety, scientific literacy, resilience to extreme weather, and informed decision-making nationwide."
qosap.research.noaa.gov,Department of Commerce,NOAA,,"Resources & support requests to NOAA Line Offices, informing major decisions on the optimal design of observing systems, conducting quantitative observing system assessments. Public Law 115-25"
ra4-gifs.weather.gov,Department of Commerce,NOAA,,The Global Telecommunications System (GTS) Internet File Service (GIFS). More info in Q11
radar.weather.gov,Department of Commerce,NOAA,,Main NWS site for the visualization of radar information.
radar2pub.ncep.noaa.gov,Department of Commerce,NOAA,,NWS Level II Radar Receive Status page.
radar3pub.ncep.noaa.gov,Department of Commerce,NOAA,,NWS Level III Radar Receive Status page.
rapidrefresh.noaa.gov,Department of Commerce,NOAA,,"Provides vital weather research, tools, and forecasts that support public safety, scientific literacy, resilience to extreme weather, and informed decision-making nationwide."
ready.noaa.gov,Department of Commerce,NOAA,,"READY offers meteorological data products and HYSPLIT model runs for transport and dispersion. It creates about four million products annually, serving meteorologists, researchers, and the public."
repository.library.noaa.gov,Department of Commerce,NOAA,,20 USC 91: Literary and scientific collections accessible to investigators and students; NAO 205-17A; NAO 205-18; 44 USC 31
research.noaa.gov,Department of Commerce,NOAA,,"Supports Section 508 and Open Gov mandates by sharing NOAA Research’s science, priorities, and programs—advancing transparency, accessibility, and public engagement."
response.restoration.noaa.gov,Department of Commerce,NOAA,,"A web-based tool supporting NOAA’s disaster and pollution preparedness and response user community. Provides expertise and resources for coastal preparedness, response, restoration and recovery."
responselink.orr.noaa.gov,Department of Commerce,NOAA,,A tool supporting NOAA’s disaster and pollution preparedness and response user community. Provides info on support provided to FOSCs as mandated by National Contingency Plan during spills & disasters
restoreactscienceprogram.noaa.gov,Department of Commerce,NOAA,,"The RESTORE Act of 2012 directed NOAA to establish the Gulf Coast Ecosystem Restoration Science, Observation, Monitoring and Technology Program, or NOAA RESTORE Science Program"
roc.noaa.gov,Department of Commerce,NOAA,,Homepage for the Radar Operations Center. More info in Q11
sab.noaa.gov,Department of Commerce,NOAA,,America COMPETES Act SEC 4002(a) and other mandates specify that NOAA “shall enhance public awareness and understanding of ocean and atmospheric science.” OAR websites are the primary tool for this.
sanctuaries.noaa.gov,Department of Commerce,NOAA,,"This is the flagship website for NOAA's Office of National Marine Sanctuaries, mandated by the National Marine Sanctuaries Act to enhance public awareness and appreciation of the marine environment. "
sarsat.noaa.gov,Department of Commerce,NOAA,,Provides information to the general public on the U.S. SARSAT (Search and Rescue Satellite Aided Tracking) program. An average of 300+ US lives are saved yearly attributed to SARSAT.
satable.ncep.noaa.gov,Department of Commerce,NOAA,,Numerical forecast model ensemble sutuational awareness tables. 
satepsanone.nesdis.noaa.gov,Department of Commerce,NOAA,,"The NESDIS server provides NOAA satellite data for weather, climate, and environmental monitoring to scientists, agencies, and industries needing raw satellite observations for research and analysis."
sciencecouncil.noaa.gov,Department of Commerce,NOAA,,America COMPETES Act SEC 4002(a) and other mandates specify that NOAA “shall enhance public awareness and understanding of ocean and atmospheric science.” OAR websites are the primary tool for this.
scsshore.noaa.gov,Department of Commerce,NOAA,,"This is the central node for all NOAA research ships data collection systems. It acquires data from shipboard oceanographic, atmospheric & fisheries sensors and provides it to scientists in real time."
sdr.gov,Department of Commerce,NOAA,,"The Science for Disaster Reduction website provides resources on disaster risk reduction for professionals, policymakers, and communities to enhance preparedness, response, and recovery efforts."
seafoodinspection.nmfs.noaa.gov,Department of Commerce,NOAA,,This site supports seafood trade by allowing the seafood industry to request seafood inspection and certification services from the Seafood Inspection Program.
seagrant.noaa.gov,Department of Commerce,NOAA,,"Per 33 USC §§ 1121(a)(1)(A),  provides broad and prompt dissemination of knowledge nationally, resulting in greater understanding and management of ocean, coastal, and Great Lakes resources."
secatchshares.fisheries.noaa.gov,Department of Commerce,NOAA,,"Required under regulations for the Souteast Catch Share programs in order to submit share transfer, allocation transfers, landing transactions, and to pay cost recovery fees for the program."
shield.gfdl.noaa.gov,Department of Commerce,NOAA,,"SHiELD is a unique system for high-resolution modeling for Earth-to-local domains, providing real time experimental U.S. forecasts and vital tools and research for improved NOAA weather forecasting."
shoreline.noaa.gov,Department of Commerce,NOAA,,"Provides critical shoreline data for navigation, coastal management, and hazard response.  Public access ensures accuracy, resilience, and sustainable planning for communities and coastal systems."
sift.pmel.noaa.gov,Department of Commerce,NOAA,,NOAA Center for Tsunami research
sites.gsl.noaa.gov,Department of Commerce,NOAA,,"The site supports data dissemination for  the NOAA Tsunami Program to the public, including access to the Tsunami Propagation Database through the use of publicly available tools (33 USC §3205, §3208)"
slosh.nws.noaa.gov,Department of Commerce,NOAA,,"Homepage for the Sea, Lake, and Overland Surge from Hurricanes (SLOSH). More info in Q11."
sord.nv.doe.gov,Department of Commerce,NOAA,,"The SORD website  provides meteorological data, forecasts, and modeling tools to support safety, emergency response, and environmental research at the Nevada National Security Site."
sos.noaa.gov,Department of Commerce,NOAA,,"The site has 600+ datasets, install, support and education resources for Science On a Sphere and SOS Explorer. Main users are 180+ SOS museums, science centers, and other public and for-profit groups."
space.commerce.gov,Department of Commerce,NOAA,,"Provides information to space industry stakeholders about U.S. policies, regulations, international engagements, space situational awareness program development, business opptys, and related issues."
spaceweather.gov,Department of Commerce,NOAA,,"Homepage for the Space Weather Prediction Center (SWPC), the official source of space weather alerts and warnings for the United States."
spc.noaa.gov,Department of Commerce,NOAA,,"Home page for the Storm Prediction Center, which provides forecasts and warnings for severe weather, including tornadoes, thunderstorms, and fire weather across the U.S."
spo.nmfs.noaa.gov,Department of Commerce,NOAA,,"Access to 150+ years of peer-reviewed science for researchers, managers, and the public, supporting MSA's requirement for decisions based on the best available scientific information.  "
spot.weather.gov,Department of Commerce,NOAA,,"Provides and takes requests for specialized,detailed weather forecasts and support for incident management, especially for wildfires and hazardous materials incidents as provided by NWS meteorologists"
ssd.noaa.gov,Department of Commerce,NOAA,,"The SSD website provides satellite data and products in support of weather and environmental hazards to forecasters, scientists, agencies, and industries like aviation and agriculture."
star.nesdis.noaa.gov,Department of Commerce,NOAA,,"STAR transforms satellite observations of the earth into meaningful information essential to environmental, security, and economic decision-making."
stateoftheocean.osmc.noaa.gov,Department of Commerce,NOAA,,"The State of the Ocean site provides at-a-glance, up-to-date information about ocean indices linked to societally important patterns of variability in the atmosphere and biosphere (33 USC Ch 17 §893)"
stellwagen.noaa.gov,Department of Commerce,NOAA,,"Mandated by the National Marine Sanctuaries Act to enhance public awareness, understanding and appreciation of the marine environment, this site provides vital information for the tax paying public."
storm.aoml.noaa.gov,Department of Commerce,NOAA,,"The AOML Hurricane Model Viewer displays graphical products for hurricane observations and numerical model forecasts to enhance research, situational awareness, and transitions to operations."
storms.ngs.noaa.gov,Department of Commerce,NOAA,,"Provides crucial geospatial data for disaster response and recovery.  Public access ensures rapid damage assessment, efficient resource allocation, and improved efficiency for future storm response.  "
stormscdn.ngs.noaa.gov,Department of Commerce,NOAA,,
swfsc-publications.fisheries.noaa.gov,Department of Commerce,NOAA,,"The SWFSC publications website serves as an archival repository of government scientific publications that are governed by a complex web of laws, policies, and regulations."
sworm.gov,Department of Commerce,NOAA,,"The Space Weather Operations, Research, and Mitigation (SWORM) Subcommittee’s home page, providing program description, updates, and documentation. More in Q11."
swpc.noaa.gov,Department of Commerce,NOAA,,"Homepage for the Space Weather Prediction Center (SWPC), the official source of space weather alerts and warnings for the United States."
tao.ndbc.noaa.gov,Department of Commerce,NOAA,,Portal to data from the TAO/TRITON Array. More info in Q11.
tap.orr.noaa.gov,Department of Commerce,NOAA,,A tool supporting NOAA’s pollution preparedness and response staff & user community. Used to estimate the probability that an oil spill from a likely source will reach a specific segment of shoreline.
techpartnerships.noaa.gov,Department of Commerce,NOAA,,"Resource gateway and public-facing data hub for NOAA's SBIR, CRADAs, & Technology Transfer programs. Executive Order 10096, 15 USC §638, 35 USC Chapter 18, & Public Law 96-480: Section 11c2"
testbed.aviationweather.gov,Department of Commerce,NOAA,,"Homepage for the Aviation Weather Testbed, a research entity of the Aviation Weather Center (AWC)"
testbeds.noaa.gov,Department of Commerce,NOAA,,America COMPETES Act SEC 4002(a) and other mandates specify that NOAA “shall enhance public awareness and understanding of ocean and atmospheric science.” OAR websites are the primary tool for this.
thunderbay.noaa.gov,Department of Commerce,NOAA,,"Mandated by the National Marine Sanctuaries Act to enhance public awareness, understanding and appreciation of the marine environment, this site provides vital information for the tax paying public."
tidesandcurrents.noaa.gov,Department of Commerce,NOAA,,"The primary method for disseminating the nation's water level, currents, meteorological data as well critical real-time marine navigation and forecasting products, such as NOAA PORTS"
token.gfdl.noaa.gov,Department of Commerce,NOAA,,GFDL Multifactor Solution and Management. Required for MFA and SSO. GFDL-only authentication.
toolkit.climate.gov,Department of Commerce,NOAA,,"The Climate Resilience Toolkit connects users with federal tools, data, and expertise to understand climate risks and build resilience in communities, businesses, and government."
training.weather.gov,Department of Commerce,NOAA,,"Homepage for the Office of the Chief Learning Officer, which provides professional/technical training for NWS employees to reach optimum performance in present assignments and future responsibilities."
tsunami.coast.noaa.gov,Department of Commerce,NOAA,,Gives Hawaii Emergency Management and Guam Homeland Security agencies online & mobile friendly public access to tsunami evacuation zones for life-saving emergency preparedness and response efforts.
tsunami.gov,Department of Commerce,NOAA,,Homepage for the U.S. Tsunami Warning System. More info in Q11.
tsunami.noaa.gov,Department of Commerce,NOAA,,"This site explains the NOAA Tsunami Program to the public, including safety information, how forecasts are made/disseminated, and efforts to reduce impacts of inundation events (33 USC §3205, §3208)"
tsunami-cp.ncep.noaa.gov,Department of Commerce,NOAA,,Same as tsunami.gov
usicecenter.gov,Department of Commerce,NOAA,,"Provides access to operational ice and snow products and services to government, commercial, and academic end users in support of national security and safety at sea for the US Navy, NOAA, and USCG."
vdatum.noaa.gov,Department of Commerce,NOAA,,"Enables precise vertical datum transformations for navigation, surveying, and coastal management.  Public access ensures accuracy, efficiency, and seamless integration of elevation data nationwide."
videos.fisheries.noaa.gov,Department of Commerce,NOAA,,"Gallery of informational videos and b-roll packages on fisheries, marine life, aquaculture, and habitat for researchers, educators, policymakers, the media, and the public."
viewer.weather.noaa.gov,Department of Commerce,NOAA,,NWS National Geographic Information System (GIS) Map Viewer. More info in Q11.
viz.pmel.noaa.gov,Department of Commerce,NOAA,,Data tools and data visualization  that support analysis and extend the value of taxpayer funded environmental data.
vlab.noaa.gov,Department of Commerce,NOAA,,"NOAA Virtual Laboratory is a set of services and an IT framework enabling NOAA employees and their partners to share ideas, collaborate, engage in software development, and conduct applied research."
vms.nmfs.noaa.gov,Department of Commerce,NOAA,,"Provides access to the Vessel Monitoring System for federal agencies, states, fisheries council, and fishery commissions.  "
voices.nmfs.noaa.gov,Department of Commerce,NOAA,,"Provides access to 2,600+ oral histories from U.S. fishing communities to inform education, stakeholder engagement, and fisheries-related research, supporting 16 U.S.C § 1801(c)(3) requirements."
vos.noaa.gov,Department of Commerce,NOAA,,Homepage for the U.S. Voluntary Observing Ship (VOS) Program. More info in Q11.
water.noaa.gov,Department of Commerce,NOAA,,The National Water Prediction Service (NWPS) website. More info in Q11.
weather.gov,Department of Commerce,NOAA,,Main webpage that servess as the portal for all NWS products and services.
webapps.nwfsc.noaa.gov,Department of Commerce,NOAA,,"Hosts multiple web applications that support commercial fishing, protected species management, and operational activities, including reporting and dissemination, on the West Coast. "
webeast.ngs.noaa.gov,Department of Commerce,NOAA,,Website is coop site for geodesy.noaa.gov
webform.pier.seagrant.noaa.gov,Department of Commerce,NOAA,,Platform for national collection of grant-related measures to meet OMB Circular A-11 reporting requirements in support of 33 USC §§ 1121(a)(1)(A).
wof.nssl.noaa.gov,Department of Commerce,NOAA,,"Home page and data viewer used by NWS forecasters and core partners for real-time, dynamically updating Warn-on-Forecast System predictions that make weather warnings earlier and more precise."
wpc.ncep.noaa.gov,Department of Commerce,NOAA,,Main website for the NWS Weather Prediction Center used to display and/or distribute gis data for their forecast products. Q11 for more
wpo.noaa.gov,Department of Commerce,NOAA,,Disseminates information about mandated research & funding to public/stakeholders for transparency and engagement. Provides access to resources for integrating research into operations/applications.
broadbandusa.ntia.gov,Department of Commerce,NTIA,,"BroadbandUSA promotes innovation and economic growth by supporting state, local, tribal governments, industry, and nonprofits with enhancing broadband connectivity and promoting digital opportunities."
cscrip.ntia.gov,Department of Commerce,NTIA,,Communications Supply Chain Risk Information Partnership (C-SCRIP) is a program designed to share supply chain security risk information with trusted communications providers and suppliers.
grants.ntia.gov,Department of Commerce,NTIA,,"Facilitates applying to NTIA broadband grants. Grants have eligibility rules but are generally available to associations, state/local governments and tribal entities in all US states and territories."
its.ntia.gov,Department of Commerce,NTIA,,"Research portal providing full-text, parametrically searchable open access to a unique collection of spectrum science reports, datasets, and software tools not elsewhere indexed or available"
ntia.gov,Department of Commerce,NTIA,,"Supports NTIA’s mission to build a better-connected world through high-speed Internet, modern public safety communications, and ensuring that the Internet remains an engine for innovation and growth."
www2.ntia.gov,Department of Commerce,NTIA,,"This site is an archive of information pertaining to the BTOP and SBI grant programs, funded by the American Recovery and Reinvestment Act."
dblease.ntis.gov,Department of Commerce,NTIS,, NTIS website for its database customers to retrieve updates.
dmf.ntis.gov,Department of Commerce,NTIS,,NTIS subset website of LADMF for File Download
dmfcert.ntis.gov,Department of Commerce,NTIS,,NTIS administers its Certification Program for Access to the Limited Access Death Master File (LADMF)
ladmf.ntis.gov,Department of Commerce,NTIS,,NTIS website for Limited Access Death Master File (LADMF)
ntis.gov,Department of Commerce,NTIS,,Main website of National Technical Information Service agency
ntrl.ntis.gov,Department of Commerce,NTIS,,Website of National Technical Reports Library (NTRL).
ptoft.ntis.gov,Department of Commerce,NTIS,,NTIS Secure File Transfer Protocol (sFTP) server for customer
srs.ntis.gov,Department of Commerce,NTIS,,NTIS SFTP server website
2001-2009.commerce.gov,Department of Commerce,OS,,Archived site of Commerce.gov from Jan 2001- Dec 2009
2010-2014.commerce.gov,Department of Commerce,OS,,Archive site from Commerce.gov for Jan 2009-Dec 2014 (headline dates don't match the URL dates)
2014-2017.commerce.gov,Department of Commerce,OS,,Archived site of Commerce.gov from Dec 2014-Jan 2017
2017-2021.commerce.gov,Department of Commerce,OS,,Archived site of Commerce.gov from Dec 2017-Jan 2021
cldp.doc.gov,Department of Commerce,OS,,"Commercial Law Development Program, Office of the General Counsel (OGC)"
commerce.gov,Department of Commerce,OS,,The primary site for the Department of Commerce.
data.commerce.gov,Department of Commerce,OS,,The main landing page directing users to the various data sets for respective bureaus
mbda.data.commerce.gov,Department of Commerce,OS,,
oig.doc.gov,Department of Commerce,OS,,"The OIG website is used to provide information regarding reports issued by the Inspector General, and to allow whistleblowers to descretly report fraud, waste, and abuse."
socmed.commerce.gov,Department of Commerce,OS,,"Public facing website for the Commerce Social Media Tracker.  The Department of Commerce’s Policy on the Approval and Use of Social Media and Web 2.0 (SM/W2.0) states that Department employees using SM/W2.0 technologies in an official capacity must do so only on Department-approved accounts and may only use official e-mail or other contact information for the creation and management of those accounts.  Before creating a work-related account on a social media platform or online service, you must apply for approval from your bureau and the Department through the Social Media (SocMed) "
assignment.uspto.gov,Department of Commerce,USPTO,,"Patent assignment search; quick lookup by numbers (reel/frame, patent, application, publication, PCT, International reg.), or name (assignor, assignee, correspondent).  "
certifiedcopycenter.uspto.gov,Department of Commerce,USPTO,,Order copies of U.S. Patent and Trademark Documents and Certified Documents
developer.uspto.gov,Department of Commerce,USPTO,,RETIRING IN APRIL 2025 - REPLACED BY data.uspto.gov
eog-tmng.uspto.gov,Department of Commerce,USPTO,,Trademark Official Gazette - Interactive
estta.uspto.gov,Department of Commerce,USPTO,,Electronic System for Trademark Trials and Appeals
fees.uspto.gov,Department of Commerce,USPTO,,"Fees self-service portal - financial manager, patent maintenance fees storefront, fee schedules"
globaldossier.uspto.gov,Department of Commerce,USPTO,,Public access to file histories of applications from participating IP5 Office
idm-tmng.uspto.gov,Department of Commerce,USPTO,,Trademark ID Manual
ipidentifier.uspto.gov,Department of Commerce,USPTO,,Site focused on educating public on IP protection and types of IP
mpep.uspto.gov,Department of Commerce,USPTO,,Manual of Patent Examining Procedures (RDMS)
my.uspto.gov,Department of Commerce,USPTO,,"User Management of IP Portfolio, Account management"
oedci.uspto.gov,Department of Commerce,USPTO,,"Registered Patent practitioner enrollment, discipline, and rosters."
patentcenter.uspto.gov,Department of Commerce,USPTO,,"File utility, design, national stage, and international submissions, retrieve submitted applications, file petitions, and perform post-grant activities."
ppubs.uspto.gov,Department of Commerce,USPTO,,"Patent Public Search - Basic and Advanced Patent Search Tools; URL resolves to blank page with ""Fixed response content"" in upper left-hand corner of screen."
seqdata.uspto.gov,Department of Commerce,USPTO,,Retrieval of Patent Published Sequence Data (PSIPS)
tbmp.uspto.gov,Department of Commerce,USPTO,,Trademark Trial and Appeal Board Manual of Procedures (RDMS)
tfsr.uspto.gov,Department of Commerce,USPTO,,Trademark Federal Statutes and Rules (RDMS)
tmdesigncodes.uspto.gov,Department of Commerce,USPTO,,Trademark Search Design Code Manual
tmep.uspto.gov,Department of Commerce,USPTO,,Trademark Manual of Examining Procedure (RDMS)
tmsearch.uspto.gov,Department of Commerce,USPTO,,Trademark Public Search
trademarkcenter.uspto.gov,Department of Commerce,USPTO,,"Apply to register a Trademark, view and manage applicant docket."
tsdr.uspto.gov,Department of Commerce,USPTO,,Trademark Status and Document Retrieval
ttabvue.uspto.gov,Department of Commerce,USPTO,,Trademark Trial and Appeal Board Inquiry System
uspto.gov,Department of Commerce,USPTO,,USPTO.gov Website - Primary entry point to all USPTO systems and information
www-search.uspto.gov,Department of Commerce,USPTO,,USPTO.gov WWW Search Platform
